frame,pos_x,pos_y,pos_z,size_x,size_y,size_z,center_of_mass_x,center_of_mass_y,mass,center_of_mass_z
1,-1.38073,-1.18582,-1.01734,2.81799,3.14931,2.03708,4.1204e-07,4.30491e-06,-3.93418e-08,1.00001
1,-1.38073,-1.18582,-1.01734,1.409,1.57465,1.01854,4.4532e-10,1.88716e-09,-2.0701e-11,1
1,0.0282609,-1.18582,-1.01734,1.409,1.57465,1.01854,0,0,0,0
1,-1.38073,0.388832,-1.01734,1.409,1.57465,1.01854,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-1.38073,-1.18582,0.00119711,1.409,1.57465,1.01854,-0.380735,-0.185823,0.0197359,1.65963e-07
1,0.0282609,0.388832,-1.01734,1.409,1.57465,1.01854,0.437257,0.574385,-0.0173417,2.44696e-06
1,0.0282609,-1.18582,0.00119711,1.409,1.57465,1.01854,0,0,0,0
1,-1.38073,0.388832,0.00119711,1.409,1.57465,1.01854,0,0,0,0
1,0.0282609,0.388832,0.00119711,1.409,1.57465,1.01854,0,0,0,0
1,-1.38073,0.388832,-1.01734,0.704498,0.787327,0.509269,0,0,0,0
1,-0.676237,0.388832,-1.01734,0.704498,0.787327,0.509269,0,0,0,0
1,-1.38073,1.17616,-1.01734,0.704498,0.787327,0.509269,0,0,0,0
1,-1.38073,0.388832,-0.508072,0.704498,0.787327,0.509269,0,0,0,0
1,-0.676237,1.17616,-1.01734,0.704498,0.787327,0.509269,0,0,0,0
1,-0.676237,0.388832,-0.508072,0.704498,0.787327,0.509269,-0.195813,0.963462,-5.3427e-05,3.03945e-06
1,-1.38073,1.17616,-0.508072,0.704498,0.787327,0.509269,0,0,0,0
1,-0.676237,1.17616,-0.508072,0.704498,0.787327,0.509269,0,0,0,0
1,-0.676237,0.388832,-0.508072,0.352249,0.393664,0.254635,0,0,0,0
1,-0.323988,0.388832,-0.508072,0.352249,0.393664,0.254635,0,0,0,0
1,-0.676237,0.782496,-0.508072,0.352249,0.393664,0.254635,0,0,0,0
