name,date (JD),x (AU),y (AU),z (AU),vx (AU/yr),vy (AU/yr),vz (AU/yr),mass (kg),radius (m)
Mars,2460679.5,-0.5596519653086863,1.51473570025959,0.04546667023296288,-4.601296181207355,-1.3367268819106637,0.08483029788603154,6.417e+23,3390000.0
Mars,2460680.5,-0.572229847494803,1.511022856987115,0.04569732523611274,-4.5867972618422135,-1.375478058633848,0.08366253966701422,6.417e+23,3390000.0
Mars,2460681.5,-0.584767628063657,1.507204141840334,0.0459247778135125,-4.572002264950947,-1.4140660164288321,0.08249093995088687,6.417e+23,3390000.0
Mars,2460682.5,-0.5972644989779082,1.503280003993406,0.04614901756343604,-4.556913067661509,-1.4524890712004184,0.0813155801794934,6.417e+23,3390000.0
Mars,2460683.5,-0.6097196573384506,1.499250897192267,0.04637003430643125,-4.541531547734025,-1.4907455615597975,0.0801365423420987,6.417e+23,3390000.0
Mars,2460684.5,-0.6221323053792063,1.495117279701577,0.04658781808400637,-4.525859582993629,-1.5288338494167162,0.07895390869632286,6.417e+23,3390000.0
Mars,2460685.5,-0.6345016504609777,1.490879614251219,0.04680235915696818,-4.5098990476709115,-1.5667523176547242,0.0777677601845881,6.417e+23,3390000.0
Jupiter,2460676.5,1.056033545576702,4.971452162023883,-0.04427806378454757,-2.7307084944576565,0.7029112339232497,0.05816881398076024,1.898e+27,69910000.0
Jupiter,2460677.5,1.048556514978711,4.973370532201219,-0.04411876676153652,-2.7311206187568757,0.6986982644977621,0.05820794359243097,1.898e+27,69910000.0
Jupiter,2460678.5,1.041077601938433,4.975278607632332,-0.04395933121097881,-2.7323370602995682,0.694884665860497,0.058248674564926266,1.898e+27,69910000.0
Jupiter,2460679.5,1.033596034767855,4.977175263934727,-0.04379980839522057,-2.732962962349027,0.6908599922335277,0.05829117489929066,1.898e+27,69910000.0
Jupiter,2460680.5,1.026111784546066,4.979061233706101,-0.04364016995490626,-2.734154977882617,0.6866300020263684,0.05831890362985873,1.898e+27,69910000.0
Jupiter,2460681.5,1.018625283893956,4.980935738152541,-0.04348043926760834,-2.734965021476804,0.6828272708068219,0.05836538684923455,1.898e+27,69910000.0
Jupiter,2460682.5,1.011135489111191,4.98279901087432,-0.04332062743176941,-2.736045706732967,0.6781931393995336,0.05837776236066178,1.898e+27,69910000.0
Jupiter,2460683.5,1.003643842890511,4.984650296276722,-0.04316073955617053,-2.7368028602989147,0.6741520169576884,0.05841700897176327,1.898e+27,69910000.0
Jupiter,2460684.5,0.9961500965592988,4.986489777949128,-0.04300077033585307,-2.7371797031792093,0.6697843130002229,0.05845001668679053,1.898e+27,69910000.0
Jupiter,2460685.5,0.9886549209580174,4.988318701307909,-0.04284066875553487,-2.7382228194167344,0.6660176784172958,0.058493552727468826,1.898e+27,69910000.0
Saturn,2460676.5,9.461067271500818,-1.764614720843175,-0.3458764004169705,0.25910133006123365,1.9997793752167754,-0.04501143655293356,5.683e+26,58230000.0
Saturn,2460677.5,9.461775223824048,-1.759139264011881,-0.3459996291589088,0.258049450294903,2.0000455967464985,-0.04500828586184753,5.683e+26,58230000.0
Saturn,2460678.5,9.462480251774284,-1.753663053380735,-0.3461228583638856,0.2569704734205842,2.0003322207215932,-0.04501350595712705,5.683e+26,58230000.0
Saturn,2460679.5,9.463182263998965,-1.748186008974804,-0.3462461214760411,0.2558357699810576,2.0006487047610277,-0.045028894126677224,5.683e+26,58230000.0
Saturn,2460680.5,9.463881089144948,-1.742708131647827,-0.346369401900511,0.25465628458310524,2.0009368554467892,-0.045025502690534965,5.683e+26,58230000.0
Saturn,2460681.5,9.464576667083783,-1.737229478434794,-0.3464926644852462,0.25345864114730915,2.0012167266768883,-0.045016103020828625,5.683e+26,58230000.0
Saturn,2460682.5,9.465268935757786,-1.731750076192375,-0.346615890373867,0.25223711156691087,2.0014865679077722,-0.044999819019572,5.683e+26,58230000.0
Saturn,2460683.5,9.465957801005866,-1.726269970322847,-0.346739048011529,0.2509773009001487,2.0017208275572997,-0.044961639289001765,5.683e+26,58230000.0
Saturn,2460684.5,9.466643229019084,-1.720789289599425,-0.3468620686185488,0.24972992094096744,2.0019141805828187,-0.04490396792391098,5.683e+26,58230000.0
Saturn,2460685.5,9.467325238546056,-1.715308115036575,-0.3469849128329002,0.248480093452507,2.0020729457857587,-0.04482840073002032,5.683e+26,58230000.0
Uranus,2460676.5,11.10362881512566,16.09448391218202,-0.0841983325852499,-1.1957292392289978,0.7500512221290913,0.0182938715159695,8.681e+25,25360000.0
Uranus,2460677.5,11.10035487119638,16.09653710957977,-0.08414827448863303,-1.195896971868539,0.7498120776032309,0.018276682597118267,8.681e+25,25360000.0
Uranus,2460678.5,11.09708045348633,16.09858966457981,-0.08409820000973882,-1.1960507514503391,0.7495759507187515,0.01830184879425958,8.681e+25,25360000.0
Uranus,2460679.5,11.09380566123332,16.10064155174969,-0.08404813454955654,-1.1962000671732884,0.7493298921091317,0.018262701636798318,8.681e+25,25360000.0
